"ma_kiem_thu","ten_tinh_huong","thoi_gian_bat_dau","thoi_gian_phat_hien","thoi_gian_tao_canh_bao","thoi_gian_tao_incident","thoi_gian_tao_phieu","thoi_gian_phuc_hoi","raw_alert_received_at","incident_resolved_at","time_to_detect_seconds","time_to_incident_seconds","time_to_ticket_seconds","time_to_correlate_seconds","time_to_resolve_seconds","so_canh_bao_goc","so_incident","so_phieu_glpi","so_alert_accepted","so_alert_duplicate","so_incident_created","so_incident_updated","so_ticket_created","so_ticket_updated","so_ticket_reused","so_ticket_failed","so_incident_trung_tranh","so_ticket_trung_tranh","ket_qua","ghi_chu"
"O-01","FPT mất, Viettel còn hoạt động","2026-08-07T05:46:05.4302934Z","2026-08-07T05:46:17.4161209Z","2026-08-07T05:46:33.6348262Z","2026-08-07 05:46:31.961583+00","2026-08-07 05:46:32.393554+00","2026-08-07T05:46:55.5341383Z","2026-08-07 05:46:31.945+00","2026-08-07 05:46:51.950425+00","11.986","26.531","26.963","0.017","46.52","2","1","1","2","0","0","1","0","1","1","0","0","0","ĐẠT","Failover thực tế 4.004 giây; một email firing và một phiếu GLPI."
"O-07","Cảnh báo trùng","2026-08-07T05:47:04.4030211Z","2026-08-07T05:47:11.0162420Z","","","","2026-08-07T05:47:19.2988040Z","","","N/A","N/A","N/A","N/A","N/A","0","0","0","0","2","0","0","0","0","0","0","2","2","ĐẠT","Response duplicate=2; chênh lệch DB raw=0, incident=0, alert_count=0, notification=0, ticket=0."
